DOI;Abstract
10.1016/j.nbsj.2025.100240;The study explores the application of a Theory of Change (ToC) framework in 18 large-scale freshwater restoration projects within the context of the European Green Deal and the recently adopted Nature Restoration Regulation. By leveraging a participatory approach, the research examines the effects of freshwater restoration measures across three ecosystem clusters: peatlands and wetlands, small streams, and large rivers. In a conceptual model, restoration measures were connected with transdisciplinary goals, assessing biophysical, social and economic outcomes. The findings highlight the effectiveness of Nature-based Solutions in advancing climate resilience, biodiversity gains, and social equity while identifying potential trade-offs and negative effects. The ToC framework proved valuable in guiding restoration planning, facilitating stakeholder engagement, and enabling adaptive management in accordance with the Nature Restoration Regulation's requirements. However, the study underscores the need for clearly defined quantitative targets to enhance systematic monitoring and evaluation, ensuring full and sustainable alignment with broader European objectives. © 2025 Elsevier B.V., All rights reserved.
10.1038/s42949-025-00224-w;Effective nature-based solutions for biodiversity conservation hinge on knowledge of how people experience the outdoors in everyday life. However, relationships between human and non-human species are rarely combined into empirical models that operationalize research questions about multispecies justice. We examined how psychological drivers of pro-environmental behavior (PEB) interfaced with ecological conditions to understand urban human-bird interactions. We conducted surveys in racially and ethnically diverse neighborhoods of two neighboring US cities. Self-efficacy and social normative beliefs increased private sphere behavior like creating more bird-friendly yards, whereas only social normative beliefs increased civic behavior like volunteering to improve wildlife habitat. These data were examined alongside seasonal bird point counts. Latent variable path modeling results showed that summer bird richness predicted perceived diversity, and in turn, aesthetic charisma of birds, and attitudes toward resource management. Our comparative and social-ecological research engaged diverse populations and offered new solutions to meet the needs of a rapidly changing world. © 2025 Elsevier B.V., All rights reserved.
10.1038/s42949-025-00205-z;The design and implementation of nature-based solutions (NBS) in cities are often limited by an anthropocentric approach that prioritizes utilitarian goals instead of the diverse needs and abilities of multiple species that would support ecological flourishing. This paper starts from the premise that multispecies justice (MSJ) thinking provides a needed biocentric approach to NBS, and explores how a Capability Approach (CA) can be a bridge to integrate MSJ into urban NBS. The premise was tested through an embodied methodology used to design and deliver multi-city workshops in urban novel ecologies; settings often described as abandoned and hosting novel ecosystems. This research improved the understanding of participant’s awareness and knowledge of more-than-human agencies in shaping space and time, and in identifying social and environmental vulnerabilities and opportunities that can foster or hinder multispecies flourishing. We conclude by exploring how the CA can bridge NBS and MSJ and argue for the potential of marginal, less-valued novel ecologies as important elements of socially and biodiversity-rich urban futures. © 2025 Elsevier B.V., All rights reserved.
10.1038/s42949-025-00207-x;This paper explores the ways in which urban green and blue spaces are beset by problematic governing processes that reinforce an unrepresentative and unjust environmental narrative. In efforts to operationalise Nature Based Solutions this is problematic for, ultimately, law may act to ‘freeze’ the environmental narratives that shape our urban ecosystems. In many cases the results will not adequately recognise multiple species or provide an adequate basis to learn from the self-organised resilience of ecosystems with a long history in place. In this paper we use an Australian case study to demonstrate that a once extensive plant community that was extirpated over the past 150 years is now unknown and unrepresented in environmental law and policy, despite its value for Nature Based Solutions. We suggest that modest regulatory change can act as a vehicle for more-than-human representation within existing decision-making processes. Improved representation of disrupted and marginalised ecologies may achieve the functionality needed for effective Nature Based Solutions and allow urban ecologies to flourish. © 2025 Elsevier B.V., All rights reserved.
10.1038/s42949-025-00191-2;While substantial efforts have been made to identify and address issues of environmental justice in urban areas, the question of how to consider and plan for the concerns of humans and other species remains a major challenge. This paper provides a conceptualisation of what 'justice' might mean from a multispecies justice (MSJ) perspective within the contexts of nature-based solutions (NBS) and urban sustainability planning. We offer a wider conceptualisation of representation, distribution and agency compared with dominant framings in NBS scholarship and provide exemplar cases on how to integrate these concepts in planning discourse. We critically discuss some of the challenges and opportunities of considering MSJ when confronted by established procedures and practices in NBS science and decision-making, focusing on (i) moving beyond existing standards for biodiversity conservation; (ii) embracing MSJ as a process and practice; and (iii) building the capacity of NBS planners to work with MSJ. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.compchemeng.2025.109276;Sustainability has become a central focus in global discourse, demanding solutions that integrate three critical goals: net-zero emissions, nature-positive outcomes, and people-positive development. Progress in emissions and resource reduction exists, but integrating net-zero, nature-, and people-positive goals remains limited. This study applies the open-source Chemicals and Materials Industry (CMI) model to assess environmental, economic, and social impacts of polyester fiber production, spanning current and emerging technologies. The model was validated against literature, and sensitivity analysis highlights circularity as a key lever, capable of reducing emissions by up to 40%, though often requiring significant investment and risking widened social inequalities. Our findings reveal critical trade-offs. While biobased materials and renewable energy can enable 100% emission reduction, they may simultaneously drive resource extraction, biodiversity loss, and land use change. Global-scale assessments further show that even if country-level trends appear sustainable, the cumulative impact may exceed safe and just environmental limits. These insights underscore the importance of evaluating decarbonization strategies not only by emissions, but also by their broader ecological and social implications. To align climate goals with ecological restoration, we quantify nature-based solutions. For instance, forests sequester ?0.5 kg CO<inf>2</inf>/m2/year, allowing decision-makers to calculate reforestation needs for emissions offsets. This approach makes nature-positive pathways measurable and actionable, transforming ecosystem services into integral components of climate mitigation. Simultaneously, improving labor conditions and access to sustainable inputs supports people-positive goals but can raise production costs. Despite trade-offs, combining renewables, biobased feedstocks, and circular practices creates win–win–win pathways—cutting emissions, restoring ecosystems, and promoting equity. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.ufug.2025.128973;Nature-positive initiatives have emerged as a promising strategy to make urban areas more biodiverse and liveable in the 21st century. There are, however, many gaps in our understanding of the motivations and mechanisms through which grassroots urban greening practices emerge in cities, in particular in understudied social housing programmes. We examine 38 interviews conducted with residents of social housing developments in Bangkok, Thailand, to create a typology of attitudes and values that reflect how people conceptualise, implement and maintain urban nature. Our analysis further identifies five main types of behaviours that characterise how urban nature is negotiated within communities. Using the Urban Nature Futures Framework, we provide insights into how local priorities and decision-making processes can be integrated into the planning of urban nature. Building upon growing debates on climate justice, we examine how these behaviours can influence the implementation of nature-based solutions and climate adaptation projects in understudied contexts in the Global South. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.ufug.2025.128979;Urban tree cover (UTC) is a commonly used metric in policy and management activities, including urban forest resources assessment, equity and distribution, and ecosystem services modelling. Despite the well-established benefits associated with urban tree canopy, declining tree cover has catalysed many cities into setting UTC targets. In this short communication, we used an assessment of UTC targets set by 57 cities worldwide to discuss the merits and drawbacks of setting UTC targets and to inform recommendations for setting effective UTC targets. We found that UTC targets range in ambition, varying between 4 % and 50 %. To meet these targets, cities would have to increase their current UTC by between 0.47 and 23.3 percentage points within stated timelines of between 3 and 51 years. We found that cities with lower current UTC set ambitious targets, requiring relatively large annual increases in canopy cover. Moreover, cities in xeric or dry biomes set lower targets (< 20 %) than cities in temperate or tropical biomes (> 25 %). We found that setting UTC targets can provide a range of benefits, but achieving a UTC target at the expense of other indicators of urban forest structure and quality poses risks. We reflect on pathways to set specific, measurable, achievable, resourced, and time-bound UTC targets, while acknowledging the associated issues. This exploration of UTC targets will help ensure that UTC remains a useful metric for urban forest management and planning. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.ufug.2025.128937;Urban greening is increasingly recognized as a nature-based solution (NBS) to address climate adaptation, social equity, and biodiversity conservation challenges. This study explores the innovative potential of schoolyards as key elements of urban green infrastructure (GI) to enhance ecological connectivity and support biodiversity in fragmented urban landscapes. By focusing on four European cities—Barcelona, Brussels, Paris, and Rotterdam—the research combines spatial modeling and ecological network analyses to assess the current and potential contributions of schoolyards to urban functional connectivity for tree-dependent species. The findings reveal marked spatial contrasts, influenced by historical urban planning and vegetation distribution, with schools near large green areas offering the highest connectivity gains. While individual schoolyards yield modest improvements, their dense spatial distribution presents a strategic opportunity to densify urban ecological networks, particularly in vegetation-deficient zones. Beyond their ecological value, green schoolyards provide co-benefits such as urban cooling, enhanced learning environments, and increased social cohesion, embodying the multifunctionality central to NBS frameworks. By integrating biodiversity goals with broader social and climate objectives, this research offers scientific insights to guide urban greening strategies, emphasizing the ecological potential of schoolyards to densify connectivity and support urban biodiversity. © 2025 Elsevier B.V., All rights reserved.
10.3390/land14091884;As cities struggle to balance affordable housing, sufficient public green space, climate change, and rising temperatures, the urgency for planners to integrate nature-based solutions into urban strategies is magnified. In Poland, social inequalities and neighborhoods with limited access to green areas often characterize cities. Urban strategies are needed to increase environmental justice and mitigate climate change impacts. In a survey conducted in Poland (n = 963), a cluster analysis identified four groups based on their living situations, rating of green spaces, and climate change. The results illustrate differences in perceived impacts of heat waves with one group demonstrating a high tolerance towards heat waves, although they live in unfavorable housing conditions. Green space use varies depending on accessibility and distribution in their neighborhoods. Context-sensitive planning is required to ensure more equitable urban planning in Polish cities, which allocates for both the environmental and social needs of the city. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.buildenv.2025.113361;"Urban street shading is a proven, cost-effective strategy for reducing pedestrian exposure to extreme heat, yet its equitable distribution across social groups in dense metropolitan areas remains understudied. This research evaluates the distributional justice of street shading (encompassing both tree shading and artificial shading) in Shanghai's central urban area by combining 163,571 Baidu Street View panoramas, deep learning-based semantic segmentation, building height-based simulation model, and census data from 2408 residential communities. We found that: (1) Both natural and artificial shading are heavily concentrated in the urban core; (2) Children, non-local residents, individuals with lower educational attainment, and low-income groups experience significant shading deficits; (3) Buffer areas between developed and developing zones face dual challenges of insufficient and unequal shading coverage; (4) Nearly 47.8 % of residential walking spaces require additional street tree planting, while 13.2 % could be rapidly remediated with artificial solutions such as awnings or umbrellas. We advocate a hybrid shading strategy that combines rapid deployment of artificial structures with long-term investments in street trees to maximize cooling benefits and advance climate justice. These insights can help policymakers better target shading infrastructure efforts and alleviate heat-related health disparities in urban communities. © 2025 Elsevier B.V., All rights reserved."
10.1016/j.envsci.2025.104154;The European Union (EU)'s commitment to achieving climate neutrality by 2050 relies significantly on Carbon Dioxide Removal (CDR) strategies, yet implications of such approaches for the Global South remain unclear. Here we reflect on how land-based CDR ambitions in the EU—particularly BECCS—may generate disproportionate pressures on ecosystems and communities in countries like Brazil, which have become a focal point for climate mitigation due to their biophysical potential and geopolitical ties. Although Brazil is not formally committed to providing land-based offsets to the EU, its significant potential to host large-scale afforestation and BECCS projects renders it a useful case study for exploring these dynamics. Under a stylised exploratory scenario in which Brazil accommodates the full external land demand for BECCS, we estimate that up to 10.2 million hectares (Mha) would be needed by 2030, and between 100.3 and 152.5 Mha by 2050. This level of land use could lead to substantial socioenvironmental risks, including deforestation, biodiversity loss, water scarcity, and the displacement of local and indigenous communities. Drawing on past experiences with extractive green initiatives, we identify risks associated with predatory green projects—such as land use conflicts, food insecurity, and the erosion of Indigenous rights and knowledge—which raise concerns aligned with notions of green neo-colonialism. Furthermore, this increased demand for land could jeopardise Brazil's capacity to achieve its net-zero GHG pledge by 2050, which relies heavily on nature-based solutions, such as ending deforestation and promoting large-scale native vegetation restoration. We recommend a set of integrated and participatory policy approaches that prioritise procedural justice, ensure transparent international cooperation, and mitigate the unintended impacts of global CDR strategies on vulnerable ecosystems and communities. This work advances the conceptual understanding of the multi-layer environmental and social implications of the EU's CDR strategy, highlighting its transboundary effects and potential tensions between Global North priorities and Global South equity considerations. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.ecoleng.2025.107706;In this paper, we closely examine the case of the Marker Wadden, a nature restoration project with recreational opportunities in the Dutch lake Markermeer. The Marker Wadden – a mud island concept – has been constructed using locally sourced building materials (sediments from the lake) and is designed to withstand natural dynamics such as storms and waves. Lack of funding and financing has been repeatedly discussed and identified as a key barrier to implementing and upscaling ecological restoration, or Nature-based Solutions (NbS) in general. This highlights the importance of studying a unique case, such as the Marker Wadden, where this well-documented barrier has been overcome. We aim to identify the financial arrangements made and how they came about. We adopt the rounds model (a policy analysis theory), apply evidence triangulation, and employ a theoretical framework that captures an institutional perspective on financial barriers. We find the Marker Wadden project to be an example of public and private co-funding for ecosystem restoration. We further find revenue generation from recreational activities leads to partial cost-recovery, and non-public funding sources are unlocked due to the involvement of an NGO. We also find the pre-investment phase to be instrumental in overcoming financial barriers during later (implementation) phases. We surface the main drivers that led to funding for the Marker Wadden project, reveal opportunities for investment planning for NbS, and expose trade-offs in terms of (democratic) equity, efficiency, and environmental outcomes resulting from the combined public, private, and philanthropic co-funding arrangements used. © 2025 Elsevier B.V., All rights reserved.
10.14445/23488352/IJCE-V12I8P112;Urban resilience frameworks guide cities in addressing the multifaceted challenges arising from climate change, urbanization, and disaster risks. This paper compares 88 global resilience frameworks using mixed methods, including Principal Component Analysis (PCA), Hierarchical and K-Means Clustering, and Thematic Analysis. PCA revealed three dominant dimensions: climate-infrastructure integration, socio-institutional governance, and technological innovation. Clustering yielded four framework typologies: Climate-Centric, Holistic Integrators, Technology-Driven, and Policy-Focused. Major gaps include limited focus on social equity (observed in 62% of frameworks) and sparse representation of Global South contexts. Thematic analysis identified emergent trends in nature-based solutions and digital governance, while highlighting low uptake of standardized indicators like ISO 37123. For India, the integration of NIUA’s local diagnostics, ISO metrics, and community-driven models like ACCCRN offers a viable pathway. This study contributes critical insights for researchers and policymakers aiming to develop inclusive, data-driven urban resilience strategies. © 2025 Elsevier B.V., All rights reserved.
10.3390/f16081305;With rapid urbanization and increasing climate risks, cities are facing complex challenges related to environmental degradation and public health. This study conducts a bibliometric analysis of 1555 publications from the Web of Science Core Collection (2000–2025), using CiteSpace and VOSviewer to map global research trends, hotspots, and thematic evolution in the field of NbS and urban health. Results show that research interest in NbS has significantly accelerated since 2020, with Europe leading in publication output and international collaboration. Keyword analysis reveals that early studies focused on ecosystem services and climate adaptation, while recent trends emphasize governance, public participation, and environmental justice. The study also constructs a knowledge framework that illustrates how NbS contributes to urban heat mitigation, carbon management, health co-benefits, and resilience governance. This research provides a comprehensive overview of the NbS field and offers theoretical insights and empirical references for integrating NbS into urban planning, health strategies, and environmental governance, with practical relevance for cities worldwide. © 2025 Elsevier B.V., All rights reserved.
10.3390/su17157159;Over the past 30 years, the City of Portland, Oregon, USA, has emerged as a national leader in green stormwater infrastructure (GSI). The initial impetus for implementing sustainable stormwater infrastructure in Portland stemmed from concerns about flooding and water quality in the city’s two major rivers, the Columbia and the Willamette. Heavy rainfall often led to combined sewer overflows, significantly polluting these waterways. A partial solution was the construction of “The Big Pipe” project, a large-scale stormwater containment system designed to filter and regulate overflow. However, Portland has taken a more comprehensive and long-term approach by integrating sustainable stormwater management into urban planning. Over the past three decades, the city has successfully implemented GSI to mitigate these challenges. Low-impact development strategies, such as bioswales, green streets, and permeable surfaces, have been widely adopted in streetscapes, pathways, and parking areas, enhancing both environmental resilience and urban livability. This perspective highlights the history of the implementation of Portland’s GSI programs, current design and performance standards, and challenges and lessons learned throughout Portland’s recent history. Innovative approaches to managing runoff have not only improved stormwater control but also enhanced green spaces and contributed to the city’s overall climate resilience while addressing economic well-being and social equity. Portland’s success is a result of strong policy support, effective integration of green and gray infrastructure, and active community involvement. As climate change intensifies, cities need holistic, adaptive, and community-centered approaches to urban stormwater management. Portland’s experience offers valuable insights for cities seeking to expand their GSI amid growing concerns about climate resilience, equity, and aging infrastructure. © 2025 Elsevier B.V., All rights reserved.
10.1016/j.landurbplan.2025.105395;Nature-based solutions (NBS) are increasingly used to build urban climate resilience by employing natural features and processes. Implementing NBS in urban residential areas relies on the availability of unsealed soil surfaces. Here we investigate how soil is distributed at fine spatial scales across Los Angeles County, the second largest metropolitan area in the United States, to examine the potential for NBS to be realized equitably. We delineate soil patches in residential areas across a range of socioeconomic settings and urban forms, and then compare soil patch metrics to social vulnerability. Results demonstrate that areas with higher social vulnerability have less total soil area that is also more fragmented and more irregularly shaped. Reduced soil area and soil fragmentation may limit the potential for implementing NBS. As soil availability varies across Los Angeles County in relation to social vulnerability, this study foregrounds soil access as an urban equity issue. © 2025 Elsevier B.V., All rights reserved.
10.1073/pnas.2315910121;"Nature-based solutions (NbS) have emerged as a key strategy for sustainably addressing multiple urban challenges, with rapidly increasing knowledge production requiring synthesis to better understand whether and how NbS work in different social, ecological, economic, or governance contexts. Insights in this Perspective are drawn from a thematic review of 61 NbS review articles supported by an expert assessment of NbS knowledge in seven global regions to examine key challenges, fill gaps in Global South assessment, and provide insights for scaling up NbS for impact in cities. Eight NbS challenges emerged from our review of NbS reviews including conceptual, thematic, geographic, ecological, inclusivity, health, governance, and systems challenges. An additional expert assessment reviewing literature and cases in seven global regions further revealed the following: 1) Local context-based ecological knowledge is essential for NbS success; 2) Improved technical knowledge is required for planning and designing NbS; 3) NbS need to be included in all levels of planning and governance; 4) Putting justice and equity at the center of urban NbS approaches is critical, and 5) Inclusive and participatory governance processes will be key to long-term success of NbS. We synthesized findings from the NbS review results and regional expert assessments to offer four critical pathways for scaling up NbS: 1) foster new NbS research, technological innovation, and learning, 2) build a global NbS alliance for sharing knowledge, 3) ensure a systems approach to NbS planning and implementation, and 4) increase financing and political will for diverse NbS implementation. © 2025 Elsevier B.V., All rights reserved."
10.1073/pnas.2315909122;[No abstract available]
10.1073/pnas.2315911121;Nature-based solutions (NBS) are used to transform existing unsustainable and undesirable path dependencies in cities. For NBS to contribute to just urban transformations, a stronger inter- and transdisciplinary knowledge base is needed. This knowledge base is essential to engage with six complex yet crucial questions about NBS, including “for what?,” “which nature?,” “where?,” “how?,” “when,” and “for whom?.” To address these questions, we identify two critical opportunities to advance the knowledge of NBS. First, we argue for solidifying interdisciplinary approaches to examine how NBS can be designed, planned, and implemented for multifunctionality. Second, we argue that researchers need to work transdisciplinarily with diverse stakeholders to ensure the design, siting, and planning of NBS are appropriate to the context. In both critical opportunities, justice should be a core guiding principle from the beginning of planning the NBS, starting with the foundational understanding that NBS are not inherently just or unjust. Instead, their value depends on a holistic examination of the context in which they operate and the institutional logic that guides their planning. To center justice in the inter- and transdisciplinary research and practice of NBS, a knowledge shift from epistemological injustice to epistemological inclusivity is a critical way forward. © 2025 Elsevier B.V., All rights reserved.
10.1073/pnas.2315917121;Indigenous peoples have long histories and diverse contemporary practices of caring for and enhancing biodiversity at different scales, in rural and urban contexts. As has been researched and documented by the Convention on Biological Diversity and others, Indigenous peoples globally only constitute 5% of the world’s population and control and care for just 20% of the Earth’s surface yet protect nearly 80% of the world’s remaining biodiversity. Indigenous peoples have forms of biodiversity conservation that could be characterized as “nature-based solutions” (NbS), or would they be culture-based solutions? Given the extraordinary diversity of Indigenous peoples globally, there will never be a “one size fits all” solution. Yet there are general principles that have been articulated in the United Nations Declaration on the Rights of Indigenous Peoples that articulate global concepts of Indigenous Knowledge Systems (IKS) and Traditional Ecological Knowledge (TEK). IKS, TEK, and Native ways of knowing and caring for biodiversity can find both resonance and conflict with what is currently being called NbS. This article articulates Indigenous concerns and critiques of the conceptual and ontological framework of NbS, demonstrating that Indigenous Peoples’ knowledge systems include a similar framework but extend it to include a distinctly biocultural and relational orientation that does not make an artificial division between nature and culture. Different Indigenous perspectives and approaches to sustainability will be highlighted, including two case stories. We conclude with recommendations for respectful, just, decolonial, and transparent ways to explore greater resonance between NbS and Indigenous peoples’ rights. © 2025 Elsevier B.V., All rights reserved.
